PMC,Mg_%,Al_%,Ca_%,Ti_%,Fe_%,Si_%,Mg_int,Al_int,Ca_int,Ti_int,Fe_int,Si_int,image_i,image_j
248,0.2479,0.0436,28.0522,0,0.0671,0.0035,17.9,12,62452.1,0,133.3,2.7,401.68,293.75
249,0.4513,0.0614,27.0365,0,0.1815,0.0047,31.4,16.2,58210.7,0,351.2,3.5,401.62,291.36
250,0.4778,0.012,25.2428,0.025,0.3355,0.0012,33.2,3.2,54629.7,31.9,653.2,0.9,401.59,288.96
251,0.1824,0.0334,23.0517,0.1149,1.0998,0.0352,12.6,8.8,50832.4,152.6,2188.1,26.4,401.55,286.57
252,0.4274,0.0586,25.9639,0.0271,0.3226,0.0161,29.6,15.4,55957.9,34.4,625.9,12,401.5,284.18
253,0.5189,0.0403,28.6915,0.0156,0.0879,0.0022,36.3,10.6,61828.6,19.7,170.1,1.7,401.46,281.8
254,0.5148,0.0331,30.1399,0,0.0848,0,34.8,8.5,62818.3,0,158.5,0,401.42,279.42
255,0.325,0.0775,27.664,0,0.1231,0,22.6,20.6,59618.4,0,237.6,0,401.36,277.05
256,0.1943,0.0314,26.0995,0.0272,0.4793,0,13.4,8.3,56490.1,34.7,927.6,0,401.33,274.67
257,0.3275,0.0049,26.3233,0.0443,0.4055,0,23.1,1.3,57956.1,57.4,799.6,0,401.28,272.31
258,0.3301,0.0188,24.8325,0.0841,0.6912,0.0012,22.8,5,54154.6,109,1354.9,0.9,401.23,269.94
259,0.6058,0.0812,18.7301,0.2589,2.3365,0.0213,40.5,20.3,41748.6,370.7,4848.3,15.1,401.2,267.58
260,0.3807,0.0166,24.3113,0.0572,0.6497,0.026,26.6,4.4,53442.2,74.9,1288.3,19.6,401.14,265.23
261,0.3672,0,23.5509,0.0364,0.2053,0.0034,25.7,0,51301.2,46.6,400.7,2.5,401.1,262.87
262,0.444,0.0104,24.0361,0.1639,0.5532,0,30.7,2.7,52303.7,212.6,1083.8,0,401.06,260.53
263,0.3458,0,25.4724,0.0326,0.5881,0.02,24,0,55379.5,42,1149.7,15,401.02,258.18
264,0.151,0.0342,27.7303,0,0.3444,0,10.3,9,58932.6,0,653.9,0,400.97,255.84
265,0.3688,0.0605,29.0531,0,0.0238,0,26.1,16.2,63267.9,0,46.5,0,400.93,253.5
266,0.3402,0.0761,28.0264,0,0.1135,0.0086,24.3,20.7,61920.8,0,224.8,6.6,400.89,251.17
267,0.1983,0.0211,23.7863,0,0.4633,0,14,5.7,52890.7,0,921.6,0,400.85,248.83
268,0.4429,0.0921,27.2022,0,0.1758,0.0106,32.3,25.5,61409.9,0,357.2,8.3,400.81,246.51
269,0.6007,0.0436,26.9182,0,0.0426,0,43.8,11.9,60361.5,0,86,0,400.76,244.19
270,0.3511,0.0167,28.725,0,0.0548,0,25.1,4.6,63519.5,0,108.2,0,400.72,241.87
271,0.2571,0.0364,27.7452,0,0.0353,0,18.9,10.3,63178.3,0,71.8,0,400.67,239.56
272,0.3521,0.0324,29.1386,0,0.0456,0,24.7,8.6,62966,0,88,0,400.63,237.24
273,0.6128,0.0477,26.7149,0,0.0711,0,44.6,13,59924.9,0,143.9,0,400.59,234.93
274,0.6371,0.0225,26.8885,0.005,0.0731,0,46.4,6.1,60289.1,6.5,147.7,0,400.55,232.62
275,0.5124,0.0481,26.7743,0,0.055,0,37.3,13.2,60053.3,0,110.9,0,400.5,230.33
276,0.7365,0.0186,32.9686,0,0.1377,0,45.1,4.3,62095.5,0,233.6,0,400.46,228.03
277,0.1889,0.0253,28.2509,0,0.0552,0,13.8,7.1,63745.5,0,110.8,0,400.42,225.73
278,0.5594,0.0472,26.9028,0,0.0576,0,40.7,12.9,60294.6,0,116.2,0,400.38,223.44
279,0.4736,0.0494,26.5681,0,0,0,34.5,13.6,59556.3,0,0,0,400.33,221.16
280,0.3949,0.0511,29.0999,0.0023,0.0859,0,27.4,13.5,62269.8,2.8,164.6,0,400.29,218.87
281,0.4614,0.0443,29.0392,0,0.2325,0,31.7,11.5,61805.9,0,444.5,0,400.25,216.6
282,0.2666,0.0347,25.2346,0,0.0604,0.003,19,9.5,55790,0,119.2,2.3,400.2,214.32
283,0.4168,0.0562,28.5252,0,0.0874,0,29.5,15.1,62371.3,0,171.3,0,400.16,212.05
284,0.5389,0.072,22.392,0,0.2707,0.0125,36.6,18.4,47148.2,0,517.1,9,400.12,209.78
285,0.0507,0,25.8153,0,0.066,0,3.9,0,62234.1,0,141.1,0,400.08,207.52
286,0.2959,0.0616,27.2805,0,0.0475,0.0025,22.2,17.7,63325.1,0,98.6,2,400.04,205.25
287,0.3304,0.0387,28.8903,0,0.05,0,23.4,10.4,63107,0,97.5,0,399.99,203
288,0.3088,0.0254,29.0082,0,0.0303,0,21.8,6.8,63279.4,0,58.9,0,399.95,200.74
289,0.2042,0.0282,27.2217,0,0,0,15.5,8.2,63655.3,0,0,0,399.91,198.49
290,0.3223,0.0437,26.6957,0.0074,0,0,23.4,12.1,59762.9,9.7,0,0,399.87,196.24
291,0.4621,0.0318,26.6017,0,0.0194,0,33.6,8.7,59576.4,0,39,0,399.83,194
292,0.3912,0.007,32.3445,0,0.017,0,24.1,1.6,61314.8,0,28.8,0,399.79,191.76
293,0.5314,0.0494,27.0084,0,0.0212,0.0034,38.7,13.6,60545.8,0,42.8,2.6,399.74,189.52
294,0.2939,0.0264,27.9719,0,0.0608,0.0052,21.1,7.3,62092.5,0,120.5,4.1,399.7,187.29
295,0.5514,0.0372,27.4188,0,0.0473,0,39.1,9.9,59893,0,92.8,0,397.35,187.3
296,0.4453,0.0113,26.6954,0.0223,0.0221,4e-04,32.4,3.1,59863.4,29.3,44.5,0.3,397.39,189.53
