PMC,Mg,Al,Ca,Ti,Fe,Si,image_i,image_j
200,0.4203,0.0361,24.4851,0.1323,0.3051,0.0224,403.91,413.61
201,0.3814,0.0873,26.8019,0.0959,0.3464,0.0,403.86,411.01
202,0.3555,0.0,23.0834,0.0,0.3536,0.0,403.81,408.42
203,0.2949,0.0107,26.4467,0.0441,0.2399,0.0111,403.76,405.84
204,0.3419,0.0142,26.1019,0.0119,0.5542,0.0,403.71,403.25
205,0.3046,0.0262,25.7661,0.0,0.1691,0.0092,403.67,400.68
206,0.2881,0.0296,21.9176,0.0731,0.8542,0.0119,403.62,398.1
207,0.3495,0.0209,24.214,0.0776,0.8033,0.0164,403.57,395.53
208,0.478,0.0176,24.7397,0.0072,0.3455,0.0,403.52,392.96
209,0.3029,0.0108,25.5686,0.0233,0.4909,0.0103,403.48,390.41
210,0.5486,0.0354,26.5856,0.0442,0.4431,0.0,403.43,387.85
211,0.2791,0.0244,21.3241,0.0965,0.9846,0.0107,403.38,385.29
212,0.3314,0.0107,22.0068,0.0578,0.8505,0.0004,403.33,382.75
213,0.3999,0.0181,28.7555,0.0,0.0774,0.0,403.29,380.21
214,0.5062,0.027,31.3657,0.0,0.0559,0.0,403.24,377.66
215,0.099,0.06,27.2231,0.0,0.133,0.0081,403.19,375.13
216,0.3028,0.014,26.4143,0.0114,0.3703,0.0,403.15,372.6
217,0.3489,0.0196,25.8694,0.0,0.545,0.007,403.1,370.07
218,0.2634,0.0253,25.0964,0.0141,0.4683,0.0166,403.05,367.55
219,0.27,0.0172,23.3654,0.0011,0.4026,0.0,403.01,365.03
220,0.2536,0.0,25.8318,0.0372,0.4263,0.0089,402.96,362.51
221,0.2491,0.0464,25.4183,0.0332,0.6257,0.0,402.91,360.0
222,0.3753,0.0465,25.8083,0.0214,0.5678,0.0,402.86,357.49
223,0.3182,0.033,26.5795,0.0,0.2049,0.0022,402.82,354.99
224,0.3694,0.0092,27.5102,0.0,0.0645,0.0,402.77,352.49
225,0.5072,0.0253,25.1282,0.0517,0.5712,0.02,402.73,350.01
226,0.3314,0.0224,21.6468,0.1291,1.2302,0.0239,402.68,347.51
227,0.3806,0.0474,24.5855,0.0572,0.7154,0.0138,402.63,345.03
228,0.2457,0.0431,25.4358,0.036,0.5168,0.0132,402.59,342.55
229,0.3561,0.0064,25.31,0.0169,0.2277,0.0027,402.54,340.07
230,0.4304,0.0,27.9727,0.0,0.0655,0.0,402.5,337.6
231,0.2703,0.0486,24.9594,0.0681,0.7237,0.0045,402.44,335.12
232,0.436,0.0298,23.4378,0.1025,0.9344,0.0084,402.4,332.66
233,0.2364,0.0527,20.6414,0.1419,1.5559,0.0237,402.35,330.19
234,0.4372,0.0565,19.4979,0.2035,1.7999,0.0225,402.31,327.74
235,0.3839,0.0141,23.7841,0.0697,0.8422,0.02,402.26,325.29
236,0.2228,0.058,25.5744,0.0071,0.1929,0.0011,402.22,322.84
237,0.3314,0.02,25.0697,0.0357,0.7139,0.0,402.17,320.39
238,0.3758,0.063,26.9915,0.0,0.2535,0.0,402.12,317.95
239,0.1899,0.0433,26.9981,0.0,0.2734,0.0,402.09,315.52
240,0.2263,0.0379,20.5789,0.0519,1.0556,0.0245,402.04,313.08
241,0.5677,0.0473,27.4053,0.0224,0.388,0.0,401.99,310.65
242,0.6864,0.0448,28.7603,0.0,0.2486,0.0,401.95,308.23
243,0.503,0.018,24.0552,0.0263,0.389,0.0061,401.9,305.8
244,0.5687,0.0447,23.4555,0.0297,0.3207,0.013,401.85,303.38
245,0.2656,0.0142,24.4966,0.1069,0.6825,0.0104,401.82,300.97
246,0.511,0.0704,25.8147,0.0173,0.6297,0.0105,401.77,298.56
247,0.3017,0.0625,26.3946,0.0,0.1543,0.0086,401.73,296.16
248,0.2479,0.0436,28.0522,0.0,0.0671,0.0035,401.68,293.75
249,0.4513,0.0614,27.0365,0.0,0.1815,0.0047,401.62,291.36
250,0.4778,0.012,25.2428,0.025,0.3355,0.0012,401.59,288.96
251,0.1824,0.0334,23.0517,0.1149,1.0998,0.0352,401.55,286.57
252,0.4274,0.0586,25.9639,0.0271,0.3226,0.0161,401.5,284.18
253,0.5189,0.0403,28.6915,0.0156,0.0879,0.0022,401.46,281.8
254,0.5148,0.0331,30.1399,0.0,0.0848,0.0,401.42,279.42
